comp,units,games,avg_place,top4_rate,win_rate,stability_score,estimated_level,estimated_gold,play_style,economy_type
Chogath+Galio+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,"Chogath,Galio,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon",36,4.33,58.33,5.56,103.73,7.5,25,Level7 Roll,Standard
Bard+Blitzcrank+Illaoi+Karma+Leona+Mordekaiser+Morgana+Sona,"Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Morgana,Sona",24,4.33,54.17,12.5,102.35,7.5,25,Level7 Roll,Standard
AurelionSol+Galio+Karma+Mordekaiser+Morgana+Nunu+Rhaast,"AurelionSol,Galio,Karma,Mordekaiser,Morgana,Nunu,Rhaast",25,4.4,56.0,8.0,100.55,7.5,25,Level7 Roll,Standard
Aatrox+Akali+Blitzcrank+Fiora+Morgana+Nunu+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Morgana,Nunu,Rhaast,Shen,Vex",24,4.33,45.83,16.67,100.27,7.5,25,Level7 Roll,Standard
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Rhaast,Shen,Vex",52,4.58,48.08,15.38,100.11,7.0,15,Level7 Roll,Aggressive
Bard+Corki+Fizz+Galio+Milio+Poppy+Rammus+Riven,"Bard,Corki,Fizz,Galio,Milio,Poppy,Rammus,Riven",34,4.41,52.94,2.94,98.92,7.5,25,Level7 Roll,Standard
Aatrox+Akali+Belveth+Briar+Jinx+Kindred+Maokai+RekSai,"Aatrox,Akali,Belveth,Briar,Jinx,Kindred,Maokai,RekSai",20,4.5,50.0,5.0,94.5,7.5,25,Level7 Roll,Standard
Aatrox+Belveth+Maokai+MissFortune+Ornn+Rhaast+Urgot,"Aatrox,Belveth,Maokai,MissFortune,Ornn,Rhaast,Urgot",225,5.48,29.78,1.33,92.62,7.0,15,Level7 Roll,Aggressive
Akali+Belveth+Briar+Jinx+Maokai+RekSai+Rhaast,"Akali,Belveth,Briar,Jinx,Maokai,RekSai,Rhaast",166,5.34,32.53,1.2,91.53,7.0,15,Level7 Roll,Aggressive
Bard+Illaoi+Karma+Leona+Mordekaiser+Nunu+Sona+Vex,"Bard,Illaoi,Karma,Leona,Mordekaiser,Nunu,Sona,Vex",58,4.78,41.38,5.17,91.29,7.0,15,Level7 Roll,Aggressive
Bard+Blitzcrank+Illaoi+Karma+Leona+Mordekaiser+Rhaast+Sona,"Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Rhaast,Sona",25,4.6,48.0,0.0,90.95,7.0,15,Level7 Roll,Aggressive
Aatrox+Akali+Fiora+Graves+Maokai+Morgana+Shen+TahmKench+Vex,"Aatrox,Akali,Fiora,Graves,Maokai,Morgana,Shen,TahmKench,Vex",71,4.9,38.03,5.63,89.52,7.0,15,Level7 Roll,Aggressive
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,TahmKench,Urgot",259,5.63,26.64,3.86,89.15,7.0,15,Level7 Roll,Aggressive
Chogath+Galio+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Nunu+TahmKench,"Chogath,Galio,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Nunu,TahmKench",20,4.85,50.0,10.0,89.0,7.0,15,Level7 Roll,Aggressive
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Sona+Viktor,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Sona,Viktor",27,4.78,48.15,0.0,87.75,7.0,15,Level7 Roll,Aggressive
Corki+Fizz+Galio+Milio+Poppy+Rammus+Riven,"Corki,Fizz,Galio,Milio,Poppy,Rammus,Riven",471,5.66,25.9,0.64,87.43,7.0,15,Level7 Roll,Aggressive
Akali+Belveth+Gragas+Kindred+Maokai+MasterYi+Rhaast+TahmKench+Urgot,"Akali,Belveth,Gragas,Kindred,Maokai,MasterYi,Rhaast,TahmKench,Urgot",33,4.88,45.45,6.06,87.37,7.0,15,Level7 Roll,Aggressive
Akali+Belveth+Briar+Jinx+Kindred+Maokai+RekSai,"Akali,Belveth,Briar,Jinx,Kindred,Maokai,RekSai",175,5.52,25.71,0.57,86.31,7.0,15,Level7 Roll,Aggressive
Aatrox+Jax+Jhin+Maokai+Mordekaiser+Morgana+Nunu+TahmKench+Xayah,"Aatrox,Jax,Jhin,Maokai,Mordekaiser,Morgana,Nunu,TahmKench,Xayah",22,4.77,45.45,0.0,86.03,7.0,15,Level7 Roll,Aggressive
Bard+Blitzcrank+Illaoi+Karma+Leona+Mordekaiser+Nunu+Sona,"Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Nunu,Sona",35,4.94,45.71,2.86,85.54,7.0,15,Level7 Roll,Aggressive
Aatrox+Blitzcrank+Jax+Maokai+Nunu+Rhaast+Samira+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Maokai,Nunu,Rhaast,Samira,TahmKench,Xayah",23,4.65,34.78,0.0,84.32,7.0,15,Level7 Roll,Aggressive
Blitzcrank+Gwen+Morgana+Nami+Nasus+Ornn+Pantheon+Riven+TahmKench,"Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Riven,TahmKench",22,4.86,45.45,0.0,84.21,7.0,15,Level7 Roll,Aggressive
Aatrox+Jax+Lulu+Maokai+Milio+Pantheon+TwistedFate,"Aatrox,Jax,Lulu,Maokai,Milio,Pantheon,TwistedFate",605,5.85,21.98,0.83,82.02,7.0,15,Level7 Roll,Aggressive
Blitzcrank+Nami+Nasus+Ornn+Samira,"Blitzcrank,Nami,Nasus,Ornn,Samira",139,5.54,25.18,3.6,81.21,7.0,15,Level7 Roll,Aggressive
Corki+Fizz+Milio+Poppy+Rammus+Riven+Shen,"Corki,Fizz,Milio,Poppy,Rammus,Riven,Shen",27,4.96,37.04,3.7,80.72,7.0,15,Level7 Roll,Aggressive
Akali+Belveth+Jinx+Kindred+Maokai+RekSai+Rhaast,"Akali,Belveth,Jinx,Kindred,Maokai,RekSai,Rhaast",63,5.21,36.51,0.0,79.93,7.0,15,Level7 Roll,Aggressive
AurelionSol+Illaoi+Karma+Leblanc+Leona+Mordekaiser+Nunu,"AurelionSol,Illaoi,Karma,Leblanc,Leona,Mordekaiser,Nunu",47,5.15,34.04,0.0,77.69,7.0,15,Level7 Roll,Aggressive
Blitzcrank+Gwen+Nasus+Ornn+Samira,"Blitzcrank,Gwen,Nasus,Ornn,Samira",28,5.11,35.71,0.0,76.34,7.0,15,Level7 Roll,Aggressive
Blitzcrank+Gwen+Nami+Ornn+Pantheon+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Ornn,Pantheon,Riven,Shen,TahmKench",46,5.3,30.43,4.35,74.29,7.0,15,Level7 Roll,Aggressive
Chogath+Ezreal+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,"Chogath,Ezreal,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon",34,5.29,35.29,2.94,74.22,7.0,15,Level7 Roll,Aggressive
AurelionSol+Fiora+Galio+Karma+Mordekaiser+TahmKench+Urgot,"AurelionSol,Fiora,Galio,Karma,Mordekaiser,TahmKench,Urgot",28,5.39,35.71,10.71,73.84,7.0,15,Level7 Roll,Aggressive
Akali+Belveth+Gragas+Kindred+Maokai+MasterYi+TahmKench+Urgot,"Akali,Belveth,Gragas,Kindred,Maokai,MasterYi,TahmKench,Urgot",212,6.19,14.15,0.0,71.79,7.0,15,Level7 Roll,Aggressive
Gwen+Nami+Nasus+Ornn+Samira,"Gwen,Nami,Nasus,Ornn,Samira",186,6.22,15.59,1.08,70.16,7.0,15,Level7 Roll,Aggressive
Illaoi+Karma+Leblanc+Leona+Lissandra+Morgana+Sona,"Illaoi,Karma,Leblanc,Leona,Lissandra,Morgana,Sona",22,5.27,27.27,4.55,70.12,7.0,15,Level7 Roll,Aggressive
Bard+Illaoi+Karma+Leblanc+Leona+Mordekaiser+Nunu,"Bard,Illaoi,Karma,Leblanc,Leona,Mordekaiser,Nunu",20,5.4,35.0,0.0,69.0,7.0,15,Level7 Roll,Aggressive
Illaoi+Karma+Leblanc+Lissandra+Morgana+Nunu+Sona,"Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Sona",48,5.62,31.25,2.08,67.83,7.0,15,Level7 Roll,Aggressive
Aatrox+Caitlyn+Gwen+Jax+Rhaast+Talon+TwistedFate,"Aatrox,Caitlyn,Gwen,Jax,Rhaast,Talon,TwistedFate",20,5.2,20.0,0.0,67.0,7.0,15,Level7 Roll,Aggressive
Chogath+Illaoi+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,"Chogath,Illaoi,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon",46,5.48,21.74,0.0,66.03,7.0,15,Level7 Roll,Aggressive
Illaoi+Karma+Leblanc+Leona+Mordekaiser+Nunu+Zoe,"Illaoi,Karma,Leblanc,Leona,Mordekaiser,Nunu,Zoe",35,5.49,25.71,0.0,65.82,7.0,15,Level7 Roll,Aggressive
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,TahmKench",120,6.0,16.67,1.67,65.17,7.0,15,Level7 Roll,Aggressive
Aatrox+Caitlyn+Corki+Jax+Milio+Talon+TwistedFate,"Aatrox,Caitlyn,Corki,Jax,Milio,Talon,TwistedFate",35,5.51,22.86,0.0,64.11,7.0,15,Level7 Roll,Aggressive
Chogath+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,"Chogath,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon",46,5.78,26.09,0.0,61.68,7.0,15,Level7 Roll,Aggressive
Aatrox+Akali+Fiora+Graves+Maokai+Rhaast+Shen+TahmKench+Vex,"Aatrox,Akali,Fiora,Graves,Maokai,Rhaast,Shen,TahmKench,Vex",34,5.85,29.41,2.94,60.69,7.0,15,Level7 Roll,Aggressive
AurelionSol+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Sona,"AurelionSol,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Sona",47,5.81,23.4,0.0,60.24,7.0,15,Level7 Roll,Aggressive
AurelionSol+Blitzcrank+Illaoi+Karma+Leblanc+Mordekaiser+Nunu,"AurelionSol,Blitzcrank,Illaoi,Karma,Leblanc,Mordekaiser,Nunu",29,5.62,20.69,0.0,60.21,7.0,15,Level7 Roll,Aggressive
AurelionSol+Illaoi+Karma+Leona+Mordekaiser+Nunu+Sona,"AurelionSol,Illaoi,Karma,Leona,Mordekaiser,Nunu,Sona",25,5.84,32.0,0.0,59.75,7.0,15,Level7 Roll,Aggressive
Aatrox+Diana+Kindred+Leblanc+Maokai+Morgana+Rammus+TahmKench,"Aatrox,Diana,Kindred,Leblanc,Maokai,Morgana,Rammus,TahmKench",57,5.98,24.56,1.75,59.25,7.0,15,Level7 Roll,Aggressive
Blitzcrank+Gwen+Nami+Nunu+Ornn+Pantheon+Riven+TahmKench,"Blitzcrank,Gwen,Nami,Nunu,Ornn,Pantheon,Riven,TahmKench",91,6.1,17.58,0.0,58.7,7.0,15,Level7 Roll,Aggressive
Bard+Illaoi+Lissandra+Mordekaiser+Poppy+Rammus+Veigar,"Bard,Illaoi,Lissandra,Mordekaiser,Poppy,Rammus,Veigar",55,5.85,14.55,3.64,58.07,7.0,15,Level7 Roll,Aggressive
Illaoi+Karma+Leblanc+Leona+Lissandra+Morgana+Teemo,"Illaoi,Karma,Leblanc,Leona,Lissandra,Morgana,Teemo",24,5.79,20.83,0.0,56.1,7.0,15,Level7 Roll,Aggressive
Aatrox+Akali+Belveth+Briar+Jinx+Maokai+RekSai,"Aatrox,Akali,Belveth,Briar,Jinx,Maokai,RekSai",22,5.86,22.73,0.0,55.12,7.0,15,Level7 Roll,Aggressive
Illaoi+Karma+Leblanc+Lissandra+Morgana+Nunu+Teemo,"Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Teemo",31,5.81,16.13,0.0,54.97,7.0,15,Level7 Roll,Aggressive
Akali+Fiora+Gragas+Kindred+Maokai+MasterYi+TahmKench+Urgot,"Akali,Fiora,Gragas,Kindred,Maokai,MasterYi,TahmKench,Urgot",20,5.75,15.0,0.0,54.0,7.0,15,Level7 Roll,Aggressive
Chogath+Ezreal+Jhin+Maokai+Milio+Pantheon+Riven+TahmKench,"Chogath,Ezreal,Jhin,Maokai,Milio,Pantheon,Riven,TahmKench",20,5.9,20.0,0.0,53.0,7.0,15,Level7 Roll,Aggressive
Aatrox+Jax+Jhin+Maokai+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Jax,Jhin,Maokai,Nunu,Rhaast,TahmKench,Xayah",103,6.31,6.8,0.97,52.25,7.0,15,Level7 Roll,Aggressive
Chogath+Ezreal+Kaisa+Maokai+Milio+Pantheon+Riven+TahmKench,"Chogath,Ezreal,Kaisa,Maokai,Milio,Pantheon,Riven,TahmKench",21,5.9,14.29,4.76,52.2,7.0,15,Level7 Roll,Aggressive
AurelionSol+Galio+Karma+Mordekaiser+Morgana+Nunu,"AurelionSol,Galio,Karma,Mordekaiser,Morgana,Nunu",33,6.06,18.18,3.03,51.92,7.0,15,Level7 Roll,Aggressive
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Nunu+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Jhin,Maokai,Nunu,TahmKench,Xayah",80,6.3,13.75,0.0,51.5,7.0,15,Level7 Roll,Aggressive
Bard+Corki+Fizz+Milio+Poppy+Rammus+Riven,"Bard,Corki,Fizz,Milio,Poppy,Rammus,Riven",21,6.05,19.05,4.76,51.25,7.0,15,Level7 Roll,Aggressive
AurelionSol+Galio+Karma+Mordekaiser+Morgana+Rhaast,"AurelionSol,Galio,Karma,Mordekaiser,Morgana,Rhaast",57,6.28,17.54,0.0,49.95,7.0,15,Level7 Roll,Aggressive
Belveth+Gragas+Kindred+Maokai+MasterYi+RekSai+TahmKench+Urgot,"Belveth,Gragas,Kindred,Maokai,MasterYi,RekSai,TahmKench,Urgot",25,6.16,20.0,4.0,49.75,7.0,15,Level7 Roll,Aggressive
Bard+Karma+Lissandra+Poppy+Rammus+Sona+Veigar,"Bard,Karma,Lissandra,Poppy,Rammus,Sona,Veigar",21,5.95,9.52,4.76,49.34,7.0,15,Level7 Roll,Aggressive
Bard+Corki+Fizz+Galio+Gnar+Poppy+Rammus,"Bard,Corki,Fizz,Galio,Gnar,Poppy,Rammus",37,6.08,13.51,0.0,49.33,7.0,15,Level7 Roll,Aggressive
Aatrox+Jax+Jhin+Maokai+Mordekaiser+Nunu+TahmKench+Xayah,"Aatrox,Jax,Jhin,Maokai,Mordekaiser,Nunu,TahmKench,Xayah",87,6.49,12.64,1.15,48.57,7.0,15,Level7 Roll,Aggressive
Corki+Illaoi+Lissandra+Mordekaiser+Poppy+Rammus+Veigar,"Corki,Illaoi,Lissandra,Mordekaiser,Poppy,Rammus,Veigar",34,6.09,11.76,0.0,48.04,7.0,15,Level7 Roll,Aggressive
Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Shen+TahmKench,"Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Shen,TahmKench",27,6.22,14.81,0.0,45.53,7.0,15,Level7 Roll,Aggressive
AurelionSol+Blitzcrank+Galio+Karma+Mordekaiser+Morgana,"AurelionSol,Blitzcrank,Galio,Karma,Mordekaiser,Morgana",37,6.38,16.22,0.0,44.47,7.0,15,Level7 Roll,Aggressive
Blitzcrank+Illaoi+Karma+Leblanc+Lissandra+Morgana+Sona,"Blitzcrank,Illaoi,Karma,Leblanc,Lissandra,Morgana,Sona",24,6.29,16.67,0.0,44.43,7.0,15,Level7 Roll,Aggressive
Illaoi+Lissandra+Mordekaiser+Pyke+Rhaast+Viktor,"Illaoi,Lissandra,Mordekaiser,Pyke,Rhaast,Viktor",26,6.19,7.69,0.0,43.13,7.0,15,Level7 Roll,Aggressive
Aatrox+Diana+Kindred+Leblanc+Maokai+Morgana+Shen+TahmKench,"Aatrox,Diana,Kindred,Leblanc,Maokai,Morgana,Shen,TahmKench",26,6.15,3.85,0.0,42.36,7.0,15,Level7 Roll,Aggressive
Corki+Fizz+Galio+Gnar+Poppy+Rammus+Veigar,"Corki,Fizz,Galio,Gnar,Poppy,Rammus,Veigar",30,6.4,13.33,0.0,41.83,7.0,15,Level7 Roll,Aggressive
Aurora+Diana+Illaoi+Jinx+Leblanc+Leona,"Aurora,Diana,Illaoi,Jinx,Leblanc,Leona",53,6.68,7.55,0.0,37.38,7.0,15,Level7 Roll,Aggressive
Aatrox+Jax+Maokai+Mordekaiser+Nunu+Samira+TahmKench+Xayah,"Aatrox,Jax,Maokai,Mordekaiser,Nunu,Samira,TahmKench,Xayah",29,6.59,10.34,0.0,36.76,7.0,15,Level7 Roll,Aggressive
Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+TahmKench,"Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,TahmKench",64,6.83,6.25,0.0,35.54,7.0,15,Level7 Roll,Aggressive
Aatrox+Blitzcrank+Jax+Maokai+Nunu+Samira+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Maokai,Nunu,Samira,TahmKench,Xayah",50,6.76,8.0,0.0,35.5,7.0,15,Level7 Roll,Aggressive
AurelionSol+Galio+Karma+Mordekaiser+TahmKench+Urgot,"AurelionSol,Galio,Karma,Mordekaiser,TahmKench,Urgot",36,6.67,5.56,2.78,35.12,7.0,15,Level7 Roll,Aggressive
Belveth+Gragas+Graves+Kindred+Maokai+MasterYi+TahmKench+Urgot,"Belveth,Gragas,Graves,Kindred,Maokai,MasterYi,TahmKench,Urgot",22,6.64,9.09,0.0,34.21,7.0,15,Level7 Roll,Aggressive
Aatrox+Jax+Maokai+Nunu+Rhaast+Samira+TahmKench+Xayah,"Aatrox,Jax,Maokai,Nunu,Rhaast,Samira,TahmKench,Xayah",60,6.83,1.67,0.0,33.0,7.0,15,Level7 Roll,Aggressive
Akali+Belveth+Briar+Jinx+Maokai+RekSai,"Akali,Belveth,Briar,Jinx,Maokai,RekSai",93,7.16,1.08,0.0,31.15,7.0,15,Level7 Roll,Aggressive
Bard+Corki+Fizz+Lissandra+Poppy+Rammus+Veigar,"Bard,Corki,Fizz,Lissandra,Poppy,Rammus,Veigar",36,6.86,5.56,0.0,30.4,7.0,15,Level7 Roll,Aggressive
Gwen+Nami+Nasus+Nunu+Ornn+Pantheon+Riven+TahmKench,"Gwen,Nami,Nasus,Nunu,Ornn,Pantheon,Riven,TahmKench",55,6.98,1.82,0.0,29.34,7.0,15,Level7 Roll,Aggressive
Gwen+Nami+Nasus+Ornn+Pantheon+Riven+TahmKench+Teemo,"Gwen,Nami,Nasus,Ornn,Pantheon,Riven,TahmKench,Teemo",20,6.9,0.0,0.0,25.0,7.0,15,Level7 Roll,Aggressive
Aatrox+Blitzcrank+Jax+Maokai+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Maokai,Nunu,Rhaast,TahmKench,Xayah",20,7.0,5.0,0.0,25.0,7.0,15,Level7 Roll,Aggressive
Corki+Fizz+Gnar+Lissandra+Poppy+Rammus+Veigar,"Corki,Fizz,Gnar,Lissandra,Poppy,Rammus,Veigar",54,7.26,0.0,0.0,22.91,7.0,15,Level7 Roll,Aggressive
Akali+Belveth+Gragas+Graves+Maokai+MasterYi+TahmKench+Urgot,"Akali,Belveth,Gragas,Graves,Maokai,MasterYi,TahmKench,Urgot",26,7.27,0.0,0.0,18.52,7.0,15,Level7 Roll,Aggressive
AurelionSol+Fiora+Galio+Karma+TahmKench+Urgot,"AurelionSol,Fiora,Galio,Karma,TahmKench,Urgot",32,7.41,0.0,0.0,16.68,7.0,15,Level7 Roll,Aggressive
Aatrox+Jax+Lulu+Milio+Pantheon+TwistedFate,"Aatrox,Jax,Lulu,Milio,Pantheon,TwistedFate",21,7.52,0.0,0.0,12.67,7.0,15,Level7 Roll,Aggressive
