comp,games,avg_place,top4_rate,win_rate
Blitzcrank+Gwen+Nami+Nunu+Ornn+Pantheon+Riven+Shen+TahmKench,112,3.1785714285714284,77.67857142857143,16.071428571428573
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Morgana+Nunu+TahmKench+Xayah,46,3.1956521739130435,78.26086956521739,23.91304347826087
Gwen+Nami+Nasus+Ornn+Ornn+Rammus+Samira+Samira,24,3.2083333333333335,79.16666666666666,16.666666666666664
Akali+Belveth+Diana+Jinx+Kindred+Maokai+RekSai+Rhaast,24,3.2083333333333335,87.5,0.0
Chogath+Ezreal+Galio+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,43,3.2093023255813953,74.4186046511628,16.27906976744186
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+TahmKench,52,3.25,82.6923076923077,13.461538461538462
Bard+Corki+Fizz+Galio+IvernMinion+Milio+Rammus+Riven+Shen,90,3.2666666666666666,78.88888888888889,8.88888888888889
Blitzcrank+Gwen+Nami+Ornn+Pantheon+Riven+Samira+Shen+TahmKench,20,3.3,85.0,10.0
Akali+Belveth+Jinx+Kindred+Maokai+Morgana+RekSai+Rhaast,20,3.3,80.0,10.0
Blitzcrank+Gwen+Morgana+Nami+Nasus+Ornn+Pantheon+Riven+Shen,23,3.3043478260869565,73.91304347826086,17.391304347826086
Corki+Fizz+Galio+IvernMinion+Milio+Poppy+Rammus+Riven+Shen,46,3.3260869565217392,76.08695652173914,15.217391304347828
Bard+IvernMinion+Karma+Lissandra+Poppy+Rammus+Rhaast+Sona+Summon+Veigar,29,3.3448275862068964,72.41379310344827,20.689655172413794
Gwen+Nami+Nasus+Ornn+Ornn+Samira+Samira+Shen,34,3.3529411764705883,82.35294117647058,11.76470588235294
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Shen+TahmKench,190,3.357894736842105,73.68421052631578,17.36842105263158
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+Shen,24,3.375,79.16666666666666,16.666666666666664
Bard+IvernMinion+Karma+Lissandra+Poppy+Rammus+Sona+Summon+Veigar+Viktor,34,3.3823529411764706,76.47058823529412,17.647058823529413
Gwen+Jhin+Nami+Nasus+Ornn+Ornn+Samira+Samira,22,3.409090909090909,77.27272727272727,13.636363636363635
AurelionSol+Blitzcrank+Galio+Karma+Mordekaiser+Morgana+Rhaast,102,3.450980392156863,75.49019607843137,11.76470588235294
AurelionSol+Bard+Galio+Karma+Mordekaiser+Morgana+Nunu,42,3.4761904761904763,76.19047619047619,16.666666666666664
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Nunu+Rhaast+TahmKench+Xayah,327,3.5351681957186543,69.72477064220183,15.59633027522936
Illaoi+IvernMinion+Karma+Leblanc+Lissandra+Morgana+Nunu+Rhaast+Sona+Summon,21,3.5714285714285716,76.19047619047619,4.761904761904762
Akali+Belveth+Briar+Jinx+Kindred+Maokai+RekSai+Rhaast,303,3.5742574257425743,73.92739273927393,6.9306930693069315
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Rhaast+TahmKench+Urgot,156,3.58974358974359,75.64102564102564,4.487179487179487
Bard+Galio+Illaoi+IvernMinion+Lissandra+Mordekaiser+Poppy+Rammus+Summon+Veigar,50,3.62,66.0,16.0
Corki+Fizz+Galio+IvernMinion+Milio+Morgana+Poppy+Rammus+Riven,41,3.6341463414634148,75.60975609756098,2.4390243902439024
Corki+Corki+Fizz+Galio+IvernMinion+Milio+Poppy+Rammus+Riven,29,3.689655172413793,75.86206896551724,3.4482758620689653
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Morgana+TahmKench+Urgot,100,3.72,70.0,9.0
AurelionSol+Bard+Fiora+Galio+Karma+TahmKench+Urgot,36,3.75,72.22222222222221,22.22222222222222
AurelionSol+Bard+Blitzcrank+Galio+Karma+Mordekaiser+Morgana,31,3.774193548387097,64.51612903225806,12.903225806451612
AurelionSol+Blitzcrank+Illaoi+IvernMinion+Karma+Mordekaiser+Morgana+Nunu+Sona+Summon,27,3.7777777777777777,66.66666666666666,7.4074074074074066
AurelionSol+Bard+Blitzcrank+Illaoi+IvernMinion+Karma+Mordekaiser+Nunu+Sona+Summon,124,3.806451612903226,65.32258064516128,15.32258064516129
Aatrox+Akali+Belveth+Caitlyn+Jinx+Kindred+Maokai+RekSai,22,3.8181818181818183,68.18181818181817,4.545454545454546
Corki+Fizz+Galio+IvernMinion+Milio+Poppy+Rammus+Rhaast+Riven,105,3.8190476190476192,65.71428571428571,5.714285714285714
Bard+Galio+IvernMinion+Karma+Lissandra+Poppy+Rammus+Sona+Summon+Veigar,50,3.82,62.0,8.0
AurelionSol+Chogath+Galio+Jhin+Kaisa+Karma+Mordekaiser+Nunu+TahmKench,30,3.8333333333333335,63.33333333333333,10.0
Aatrox+Caitlyn+Corki+Jax+Milio+Riven+Talon+TwistedFate,77,3.844155844155844,67.53246753246754,6.493506493506493
Aatrox+Jax+Lulu+Maokai+Milio+Pantheon+Rhaast+TwistedFate,367,3.844686648501362,65.39509536784742,9.264305177111716
Aatrox+Belveth+Kindred+Maokai+MissFortune+Ornn+Rhaast+Urgot,72,3.8472222222222223,69.44444444444444,11.11111111111111
AurelionSol+Blitzcrank+Illaoi+IvernMinion+Karma+Mordekaiser+Nunu+Rhaast+Sona+Summon,22,3.8636363636363638,63.63636363636363,4.545454545454546
Bard+Corki+Fizz+Galio+Gnar+IvernMinion+Jhin+Poppy+Rammus,30,3.8666666666666667,66.66666666666666,13.333333333333334
Bard+Blitzcrank+Graves+Illaoi+IvernMinion+Karma+Mordekaiser+Nunu+Sona+Summon,24,3.875,66.66666666666666,12.5
Illaoi+IvernMinion+Lissandra+Mordekaiser+Nami+Pyke+Rhaast+Summon+Viktor,46,3.891304347826087,67.3913043478261,6.521739130434782
Blitzcrank+Illaoi+IvernMinion+Karma+Leblanc+Leona+Lissandra+Nunu+Sona+Summon,38,3.8947368421052633,68.42105263157895,10.526315789473683
Bard+Blitzcrank+Galio+Illaoi+IvernMinion+Karma+Mordekaiser+Nunu+Sona+Summon,20,3.95,65.0,5.0
AurelionSol+Bard+Blitzcrank+Illaoi+IvernMinion+Karma+Leona+Mordekaiser+Sona+Summon,20,3.95,50.0,10.0
Aatrox+Jax+Jhin+Maokai+Mordekaiser+Nunu+Rhaast+TahmKench+Xayah,147,3.9659863945578233,61.224489795918366,10.204081632653061
Illaoi+IvernMinion+Karma+Leblanc+Leona+Lissandra+Morgana+Rhaast+Sona+Summon,25,4.0,68.0,8.0
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Samira+Shen+TahmKench,34,4.0,67.64705882352942,5.88235294117647
Blitzcrank+Illaoi+IvernMinion+Karma+Mordekaiser+Morgana+Nunu+Sona+Summon+Vex,30,4.033333333333333,63.33333333333333,6.666666666666667
AurelionSol+Bard+Illaoi+IvernMinion+Karma+Leona+Mordekaiser+Nunu+Sona+Summon,22,4.045454545454546,59.09090909090909,4.545454545454546
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+RekSai+TahmKench+Urgot,72,4.055555555555555,65.27777777777779,2.7777777777777777
Galio+Illaoi+IvernMinion+Karma+Leblanc+Lissandra+Morgana+Nunu+Sona+Summon,24,4.083333333333333,62.5,4.166666666666666
Illaoi+IvernMinion+Karma+Leblanc+Lissandra+Morgana+Nunu+Sona+Summon+Teemo,31,4.096774193548387,54.83870967741935,6.451612903225806
Akali+Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+TahmKench+Urgot,106,4.10377358490566,58.490566037735846,5.660377358490567
Bard+Illaoi+IvernMinion+Lissandra+Mordekaiser+Poppy+Rammus+Rhaast+Summon+Veigar,22,4.136363636363637,59.09090909090909,4.545454545454546
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Sona+TahmKench+Urgot,42,4.166666666666667,54.761904761904766,2.380952380952381
Belveth+Fiora+Gragas+Graves+Kindred+Maokai+MasterYi+TahmKench+Urgot,71,4.169014084507042,60.56338028169014,9.859154929577464
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Shen+TahmKench+Urgot,44,4.204545454545454,59.09090909090909,6.8181818181818175
Bard+Blitzcrank+Illaoi+IvernMinion+Karma+Mordekaiser+Nunu+Sona+Summon+Vex,400,4.205,56.75,8.25
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Pantheon+TahmKench+Urgot,33,4.242424242424242,57.57575757575758,6.0606060606060606
Bard+Corki+Fizz+Galio+IvernMinion+Milio+Poppy+Rammus+Riven,31,4.290322580645161,54.83870967741935,3.225806451612903
Chogath+Galio+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,30,4.3,60.0,3.3333333333333335
Aatrox+Akali+Blitzcrank+Fiora+Graves+Nunu+Rhaast+Shen+Vex,498,4.3694779116465865,52.40963855421686,14.257028112449799
Bard+Blitzcrank+Illaoi+IvernMinion+Karma+Mordekaiser+Nunu+Pyke+Sona+Summon,51,4.392156862745098,50.98039215686274,5.88235294117647
Bard+Blitzcrank+Illaoi+IvernMinion+Karma+Leona+Mordekaiser+Sona+Summon+Vex,81,4.395061728395062,51.85185185185185,6.172839506172839
