unit,unit_kr,icon_url,games,avg_place,top4_rate,win_rate,pick_rate,score,tier
Pantheon,판테온,https://raw.communitydragon.org/latest/assets/characters/tft17_pantheon/skins/base/images/tft17_pantheon_splash_centered_16.tft_set17.tex,7222,4.58,48.59,11.8,20.32,196.06,C
Zed,제드,https://raw.communitydragon.org/latest/assets/characters/tft17_zed/skins/base/images/tft17_zed_splash_centered_68.tft_set17.tex,165,4.13,58.18,17.58,0.46,194.65,C
MasterYi,마스터 이,https://raw.communitydragon.org/latest/assets/characters/tft17_masteryi/skins/base/images/tft17_masteryi_splash_centered_33.tft_set17.tex,2937,4.52,50.83,8.78,8.26,194.31,C
Rammus,람머스,https://raw.communitydragon.org/latest/assets/characters/tft17_rammus/skins/base/images/tft17_rammus_splash_centered_17.tft_set17.tex,5606,4.59,48.07,11.02,15.77,193.43,C
Belveth,벨베스,https://raw.communitydragon.org/latest/assets/characters/tft17_belveth/skins/base/images/tft17_belveth_splash_centered_19.tft_set17.tex,5255,4.58,49.72,7.65,14.79,193.36,C
RekSai,렉사이,https://raw.communitydragon.org/latest/assets/characters/tft17_reksai/skins/base/images/tft17_reksai_splash_centered_26.tft_set17.tex,2575,4.53,50.95,7.88,7.25,193.26,C
Kaisa,카이사,https://raw.communitydragon.org/latest/assets/characters/tft17_kaisa/skins/base/images/tft17_kaisa_splash_centered_69.tft_set17.tex,2473,4.54,49.78,11.73,6.96,193.06,C
Gragas,그라가스,https://raw.communitydragon.org/latest/assets/characters/tft17_gragas/skins/base/images/tft17_gragas_splash_centered_10.tft_set17.tex,3365,4.57,49.51,9.06,9.47,191.95,C
Lissandra,리산드라,https://raw.communitydragon.org/latest/assets/characters/tft17_lissandra/skins/base/images/tft17_lissandra_splash_centered_12.tft_set17.tex,6533,4.64,47.16,10.67,18.38,191.63,C
Jax,잭스,https://raw.communitydragon.org/latest/assets/characters/tft17_jax/skins/base/images/tft17_jax.tft_set17.tex,4551,4.64,46.78,11.45,12.81,189.45,C
Veigar,베이가,https://raw.communitydragon.org/latest/assets/characters/tft17_veigar/skins/base/images/tft17_veigar_splash_centered_32.tft_set17.tex,2241,4.61,46.5,14.77,6.31,188.93,C
Teemo,티모,https://raw.communitydragon.org/latest/assets/characters/tft17_teemo/skins/base/images/tft17_teemo_splash_centered_47.tft_set17.tex,1597,4.61,47.59,10.58,4.49,187.69,C
Poppy,뽀삐,https://raw.communitydragon.org/latest/assets/characters/tft17_poppy/skins/base/images/tft17_poppy_splash_centered_16.tft_set17.tex,4253,4.71,45.61,10.72,11.97,185.12,C
Leona,레오나,https://raw.communitydragon.org/latest/assets/characters/tft17_leona/skins/base/images/tft17_leona_splash_centered_64.tft_set17.tex,2973,4.69,46.59,8.71,8.37,184.57,C
MissFortune,미스 포츈,https://raw.communitydragon.org/latest/assets/characters/tft17_missfortune/skins/base/images/tft17_missfortune_splash_centered_16.tft_set17.tex,1003,4.65,48.26,7.08,2.82,184.52,C
Ezreal,이즈리얼,https://raw.communitydragon.org/latest/assets/characters/tft17_ezreal/skins/base/images/tft17_ezreal_splash_centered_5.tft_set17.tex,1258,4.7,46.74,13.35,3.54,183.11,C
Corki,코르키,https://raw.communitydragon.org/latest/assets/characters/tft17_corki/skins/base/images/tft17_corki_splash_centered_26.tft_set17.tex,3128,4.72,45.4,9.37,8.8,183.01,C
Talon,탈론,https://raw.communitydragon.org/latest/assets/characters/tft17_talon/skins/base/images/tft17_talon_splash_centered_39.tft_set17.tex,633,4.68,46.6,8.21,1.78,182.33,C
Milio,밀리오,https://raw.communitydragon.org/latest/assets/characters/tft17_milio/skins/base/images/tft17_milio_splash_centered_0.tft_set17.tex,3570,4.74,45.6,7.84,10.05,182.27,D
Caitlyn,케이틀린,https://raw.communitydragon.org/latest/assets/characters/tft17_caitlyn/skins/base/images/tft17_caitlyn_splash_centered_48.tft_set17.tex,1183,4.71,47.42,7.35,3.33,181.53,D
Jinx,징크스,https://raw.communitydragon.org/latest/assets/characters/tft17_jinx/skins/base/images/tft17_jinx_splash_centered_38.tft_set17.tex,2554,4.76,47.42,7.28,7.19,180.56,D
Lulu,룰루,https://raw.communitydragon.org/latest/assets/characters/tft17_lulu/skins/base/images/tft17_lulu_splash_centered_14.tft_set17.tex,1719,4.74,45.32,9.19,4.84,180.37,D
TwistedFate,트위스티드 페이트,https://raw.communitydragon.org/latest/assets/characters/tft17_twistedfate/skins/base/images/tft17_twistedfate_splash_centered_45.tft_set17.tex,1854,4.74,45.36,8.36,5.22,180.37,D
Gnar,나르,https://raw.communitydragon.org/latest/assets/characters/tft17_gnar/skins/base/images/tft17_gnar_splash_centered_15.tft_set17.tex,1598,4.76,44.62,11.76,4.5,179.54,D
Leblanc,르블랑,https://raw.communitydragon.org/latest/assets/characters/tft17_leblanc/skins/base/images/tft17_leblanc_splash_centered_29.tft_set17.tex,3097,4.78,44.66,6.91,8.71,179.26,D
Zoe,조이,https://raw.communitydragon.org/latest/assets/characters/tft17_zoe/skins/base/images/tft17_zoe_splash_centered_43.tft_set17.tex,666,4.82,43.39,9.01,1.87,174.57,D
Briar,브라이어,https://raw.communitydragon.org/latest/assets/characters/tft17_briar/skins/base/images/tft17_briar_splash_centered_10.tft_set17.tex,1807,4.92,44.05,6.42,5.08,170.53,D
Diana,다이애나,https://raw.communitydragon.org/latest/assets/characters/tft17_diana/skins/base/images/tft17_dianasplash_pc.tft_set17.tex,822,4.91,43.92,5.47,2.31,169.69,D
Fizz,피즈,https://raw.communitydragon.org/latest/assets/characters/tft17_fizz/skins/base/images/tft17_fizz_splash_centered_26.tft_set17.tex,2481,4.95,41.03,8.75,6.98,169.35,D
Aurora,오로라,https://raw.communitydragon.org/latest/assets/characters/tft17_aurora/skins/base/images/tft17_aurora_splash_centered_1.tft_set17.tex,633,5.71,29.38,7.74,1.78,125.57,D
