trait,games,avg_place,top4_rate,win_rate,pick_rate,score,tier
DRX:4,224,4.96,44.2,7.59,0.63,147.03,D
Wolf:4,89,4.61,49.44,12.36,0.25,146.9,D
Pentakill:1,60,4.62,50.0,11.67,0.17,146.4,D
DarkStar:4,641,5.32,33.85,6.71,1.8,146.22,D
Primordian:4,62,4.63,53.23,4.84,0.17,145.5,D
Astronaut:6,130,5.04,46.15,6.15,0.37,143.22,D
Mecha:3,263,5.05,40.68,13.69,0.74,142.74,D
PsyOps:3,125,5.04,37.6,4.0,0.35,140.22,D
Conqueror:2,74,4.77,45.95,8.11,0.21,136.99,D
Shimmerscale:1,85,4.82,47.06,12.94,0.24,135.8,D
Mountain:6,352,5.31,32.39,4.26,0.99,135.47,D
Bastion:2,57,4.86,49.12,7.02,0.16,133.2,D
HPTank:3,290,5.26,35.52,7.93,0.82,129.57,D
MeleeTrait:5,97,4.89,42.27,5.15,0.27,129.32,D
Elderwood:1,50,5.02,46.0,14.0,0.14,125.66,D
Astronaut:4,88,5.17,37.5,5.68,0.25,113.99,D
MeleeTrait:3,290,5.56,29.31,4.14,0.82,111.95,D
DarkStar:5,189,5.99,21.16,1.06,0.53,87.27,D
Mountain:5,161,6.23,19.25,6.21,0.45,75.7,D
AnimaSquad:3,403,6.43,18.61,5.46,1.13,75.63,D
HPTank:5,93,5.84,21.51,4.3,0.26,75.42,D
Mountain:4,59,5.9,22.03,5.08,0.17,72.69,D
SpaceGroove:4,67,6.13,19.4,2.99,0.19,59.99,D
