item,item_kr,icon_url,games,avg_place,top4_rate,win_rate,pick_rate,score,tier
TitansResolve,거인의 결의,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_titansresolve.tft_set13.tex,3109,4.35,52.49,11.97,8.75,204.14,B
TheIndomitable,불굴,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_artifact_theindomitable.tex,725,4.32,53.24,13.79,2.04,203.55,B
ChemicalCapacitorMod,악성코드 매트릭스,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_psyops_mod_chemicalcapacitormod.tft_set17.tex,826,4.32,53.87,11.26,2.32,203.34,B
DroneMod,드론 업링크,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_psyops_mod_dronemod.tft_set17.tex,994,4.33,53.62,12.17,2.8,203.14,B
Radiant,케일의 찬란한 승천,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_item_artifact_kaylegreatsword.tft_set17.tex,1019,4.33,53.09,8.24,2.87,202.22,B
ShieldTankEmblemItem,선봉대 상징,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/traits/spatula/set17/tft17_emblem_vanguard.tft_set17.tex,1525,4.36,51.93,13.97,4.29,202.09,B
ResistTankEmblemItem,요새 상징,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/traits/spatula/set17/tft17_emblem_bastion.tft_set17.tex,1303,4.36,53.03,12.89,3.67,201.95,B
DRXEmblemItem,N.O.V.A. 상징,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/traits/spatula/set17/tft17_emblem_nova.tft_set17.tex,1598,4.37,53.0,13.14,4.5,201.83,B
TacticiansRing,전략가의 망토,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_tacticiansring.tft_set13.tex,444,4.18,57.43,13.96,1.25,201.52,B
EvelynnArtifact,이블린의 본능,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_item_artifact_evelynnfang.tft_set17.tex,565,4.36,55.58,10.09,1.59,201.33,B
TalismanOfAscension,승천의 부적,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_artifact_talismanofascension.tft_set13.tex,280,4.01,59.64,17.86,0.79,201.28,B
GrenadeMod,유기물 보존기,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_psyops_mod_grenademod.tft_set17.tex,661,4.38,52.5,14.98,1.86,200.49,B
TargetlockMod,표적 고정 광학 장치,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_psyops_mod_targetlockmod.tft_set17.tex,773,4.37,53.04,10.74,2.18,200.43,C
MeleeTraitEmblemItem,습격자 상징,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/traits/spatula/set17/tft17_emblem_marauder.tft_set17.tex,1015,4.39,52.71,11.53,2.86,199.76,C
OrnnDeathsDefiance,죽음의 저항,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft4_item_ornndeathsdefiance.tft_set13.tex,324,4.21,57.1,12.04,0.91,199.4,C
ThreshLantern,쓰레쉬의 랜턴,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_item_artifact_threshlantern.tft_set17.tex,794,4.39,51.13,12.34,2.23,199.2,C
PrimordianEmblemItem,태고족 상징,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/traits/spatula/set17/tft17_emblem_primordian.tft_set17.tex,802,4.41,53.62,11.6,2.26,198.81,C
